run	path sampling	stepping stone
link 1	-48156.3230891408	-48157.1180901143
link 2	-48156.3534157016	-48156.6320473592
link 3	-48157.7339689436	-48158.4104280193
unlink clocks 1	-48138.9027689273	-48140.0011225331
unlink clocks 2	-48137.8634068085	-48138.9139348604
unlink clocks 3	-48138.6516292384	-48139.2848334632
unlink trees 1	-48174.3846732126	-48175.6306010991
unlink trees 2	-48169.9620873971	-48171.6931877248
unlink trees 3	-48173.1795402761	-48174.7820549191
unlink trees and clocks 1	-48176.4379544746	-48176.8456550982
unlink trees and clocks 2	-48176.9818497522	-48178.1991185927
unlink trees and clocks 3	-48172.5510247185	-48174.4301990486
strict link 1	-48171.4538826716	-48171.7269333879
strict link 2	-48172.2993428034	-48172.3109697892
strict unlink clocks 1	-48165.0508704381	-48164.9515590111
strict unlink clocks 2	-48165.0201365538	-48165.6271096496
strict unlink trees 1	-48185.4552126013	-48185.3091661977
strict unlink trees 2	-48185.1706238401	-48187.031925432
strict unlink trees and clocks 1	-48182.342423667	-48183.6159757913
strict unlink trees and clocks 2	-48182.3288206327	-48184.0931855137
